1-GRAMS:
dados: 94
machine: 2
learning: 2
boas: 2
diferenciais: 2
setor: 2
git: 2
ci: 2
cd: 2
candidato: 2
profundo: 2
essencial: 2
serão: 2
robustos: 2
escaláveis: 2
extração: 2
transformação: 2
monitorar: 2
comprovada: 2
database: 2
dinâmico: 2
fabric: 2
interativos: 2
utilizando: 2
operações: 2
operacionais: 2
dentro: 2
necessários: 2
projeto: 2
job: 2
description: 2
dia: 2
mapeamento: 2
às: 2
elaboração: 2
apresentação: 2
requirements: 2
assumir: 2
excel: 2
busca: 2
pessoa: 2
valiosas: 2
eficiência: 2
essa: 2
intelligence: 2
visão: 2
utilizados: 2
contínuas: 2
looker: 2
números: 2
colaborativa: 2
disponibilização: 2
queries: 2
camadas: 2
bronze: 2
silver: 2
gold: 2
sólida: 2
boa: 2
demandas: 2
ágil: 2
diferencial: 2
superior: 2
feira: 2
and: 2
pessoas: 2
própria: 2
grande: 2
exploratórias: 2
extrair: 2
eficazes: 2
clara: 2
consultas: 2
equipe: 2
comportamento: 2
acordo: 2
suportar: 2
end: 2
suas: 2
compra: 2
atuando: 2
ter: 2
decisão: 2

2-GRAMS:
power bi: 8
transformar dados: 5
microsoft azure: 5
realizar análises: 4
data factory: 4
dados relacionais: 4
bi tableau: 3
equipes multidisciplinares: 3
inglês avançado: 3
azure data: 3
áreas correlatas: 3
decisões estratégicas: 3
dados complexos: 3
dados experiência: 3
identificar oportunidades: 2
pacote office: 2
insights estratégicos: 2
diferentes áreas: 2
resolver problemas: 2
técnicas estatísticas: 2
modelos estatísticos: 2
clientes internos: 2
experiência prévia: 2
dados conhecimento: 2
python sql: 2
apoiar decisões: 2
integrar dados: 2
diferentes fontes: 2
públicos diversos: 2
computação engenharia: 2
machine learning: 2
boas práticas: 2
ci cd: 2
dados robustos: 2
escaláveis integrar: 2
diversas fontes: 2
experiência comprovada: 2
factory azure: 2
azure sql: 2
sql database: 2
azure databricks: 2
databricks conhecimento: 2
sql habilidade: 2
ambiente dinâmico: 2
habilidade analítica: 2
construir dashboards: 2
relatórios interativos: 2
utilizando ferramentas: 2
job description: 2
graduação completa: 2
informações valiosas: 2
business intelligence: 2
manter modelos: 2
dados utilizados: 2
utilizados nas: 2
melhorias contínuas: 2
nos processos: 2
qualificações experiência: 2
ex sql: 2
forma colaborativa: 2
bronze silver: 2
experiência sólida: 2
insights acionáveis: 2
boa comunicação: 2
experiência prática: 2
relacionais ex: 2
apresentar resultados: 2
forma clara: 2
business analytics: 2
atribuições analisar: 2
atendimento pj: 2

3-GRAMS:
análise de dados: 6
engenharia de dados: 5
bancos de dados: 5
tomada de decisões: 4
visualização de dados: 4
manipulação de dados: 4
requisitos e qualificações: 4
governança de dados: 4
dashboards e relatórios: 4
ferramentas de bi: 4
modelagem de dados: 4
power bi tableau: 3
responsabilidades e atribuições: 3
aplicação de técnicas: 3
gestão e governança: 3
pipelines de dados: 3
garantir a qualidade: 3
azure data factory: 3
análises de dados: 3
modelos de dados: 3
pricing e rentabilidade: 2
área de pricing: 2
experiência com sql: 2
dados em insights: 2
estatísticas e computacionais: 2
internos e externos: 2
ciências da computação: 2
banco de dados: 2
linguagens de programação: 2
dados de diferentes: 2
cientistas de dados: 2
base em dados: 2
integridade dos dados: 2
projetos de implementação: 2
processos de etl: 2
colaborar com equipes: 2
qualidade dos dados: 2
ferramentas e serviços: 2
serviços do microsoft: 2
soluções de dados: 2
ciência da computação: 2
data factory azure: 2
factory azure sql: 2
azure sql database: 2
database e azure: 2
conhecimento em linguagens: 2
oportunidades de melhorias: 2
através de análises: 2
identificação de oportunidades: 2
estamos em busca: 2
dados de diversas: 2
relatórios e dashboards: 2
dados utilizados nas: 2
capacidade de trabalhar: 2
trabalhar de forma: 2
silver e gold: 2
capacidade de apresentar: 2
supervisionada e não: 2
tomada de decisão: 2
área de atendimento: 2
domínio de sql: 2

4-GRAMS:
bancos de dados relacionais: 4
transformar dados em insights: 2
aplicação de técnicas estatísticas: 2
técnicas estatísticas e computacionais: 2
dados de diferentes fontes: 2
serviços do microsoft azure: 2
azure data factory azure: 2
data factory azure sql: 2
factory azure sql database: 2
sql database e azure: 2
database e azure databricks: 2
construir dashboards e relatórios: 2
dashboards e relatórios interativos: 2
manter modelos de dados: 2
requisitos e qualificações experiência: 2
trabalhar de forma colaborativa: 2
tomada de decisões estratégicas: 2
bronze silver e gold: 2
capacidade de apresentar resultados: 2
área de atendimento pj: 2

5-GRAMS:
gestão e governança de dados: 3
ferramentas e serviços do microsoft: 2
azure data factory azure sql: 2
data factory azure sql database: 2
azure sql database e azure: 2
sql database e azure databricks: 2
construir dashboards e relatórios interativos: 2

6-GRAMS:
aplicação de técnicas estatísticas e computacionais: 2
ferramentas e serviços do microsoft azure: 2
azure data factory azure sql database: 2
factory azure sql database e azure: 2
azure sql database e azure databricks: 2

